Usage: evil-winrm -i IP -u USER [-s SCRIPTS_PATH] [-e EXES_PATH] [-P PORT] [-p PASS] [-H HASH] [-U URL] 
[-S] [-c PUBLIC_KEY_PATH ] [-k PRIVATE_KEY_PATH ] [-r REALM] 
-S, --ssl                      Enable ssl 
-c, --pub-key                  PUBLIC_KEY_PATH Local path to public key certificate 
-k, --priv-key                 PRIVATE_KEY_PATH Local path to private key certificate 
-r, --realm                    DOMAIN Kerberos auth, it has to be set also in /etc/krb5.conf file using this format -> CONTOSO.COM = { kdc = fooserver.contoso.com } 
-s, --scripts                  PS_SCRIPTS_PATH Powershell scripts local path 
-e, --executables              EXES_PATH C# executables local path 
-i, --ip IP                    Remote host IP or hostname (required) 
-U, --url URL                  Remote url endpoint (default wsman) 
-u, --user                     USER Username (required if not using kerberos) 
-p, --password PASS            Password 
-H, --hash NTHash              NTHash 
-P, --port PORT                Remote host port (default 5985) 
-V, --version                  Show version 
-h, --help                     Display this help message
